sampleID,bismarkCov,cell_type
GSM1274424,GSM1274424.bismark.cov.gz,HSC
GSM1274425,GSM1274425.bismark.cov.gz,HSC
GSM1274426,GSM1274426.bismark.cov.gz,HSC
GSM1274427,GSM1274427.bismark.cov.gz,MPP1
GSM1274428,GSM1274428.bismark.cov.gz,MPP1
GSM1274429,GSM1274429.bismark.cov.gz,MPP1
GSM1274430,GSM1274430.bismark.cov.gz,MPP2
GSM1274431,GSM1274431.bismark.cov.gz,MPP2
GSM1274432,GSM1274432.bismark.cov.gz,MPP2
GSM1274433,GSM1274433.bismark.cov.gz,MPP
GSM1274434,GSM1274434.bismark.cov.gz,MPP
GSM1274435,GSM1274435.bismark.cov.gz,MPP
